Report Date,Net Income (Cumu),Adjustments from Inc to Cash (Cumu),Change in Working Capital (Cumu),Cash Flow from Operations (Cumu),Purchase of Pty Plant & Equip (Cumu),Investment Purchase (Cumu),Investment Disposal (Cumu),Change in Business Activities (Cumu),Other Investing Cash Flows (Cumu),Cash Flow from Investing (Cumu),Change in ST Debt (Cumu),Change in LT Debt (Cumu),Change in Equity (Cumu),Payment of Dividends (Cumu),Other Financing Cash Flows (Cumu),Cash Flow from Financing (Cumu),Change in Cash (Cumu),Depn & Amortn (CF) (Cumu),Net Purch of Pty Plant & Equip (Cumu),Total Change in Cash
3/31/2018,33887,26258,35794,43423,7005,48449,70826,305,53,15120,1,6469,32524,6529,1190,33773,24770,5484,7005,24770
12/30/2017,20065,29707,37935,28293,2810,41366,30849,173,90,13590,2,6969,10095,3339,1038,7501,7202,2745,2810,7202
9/30/2017,48351,20797,5550,63598,12451,159881,126339,329,124,46446,3852,25162,31718,12769,1874,17347,195,10157,12451,-195
7/1/2017,37637,15961,5656,47942,8586,123868,96094,248,104,36504,3866,18225,24297,9499,1646,13351,1913,7673,8586,-1913
4/1/2017,28920,10405,254,39579,6309,99821,72883,67,10,33324,1879,10975,17514,6134,788,11582,5327,5319,6309,-5327
12/31/2016,17891,5421,3744,27056,3334,54272,38691,17,190,19122,2385,0,10673,3130,629,12047,4113,2987,3334,-4113
9/24/2016,45687,19653,484,65824,12734,143816,111794,297,924,45977,397,22454,28820,12150,1570,20483,636,10505,12734,-636
6/25/2016,36673,16328,3303,49698,8757,113444,84841,146,1074,38580,3992,15484,23058,9058,1361,14001,2883,7957,8757,-2883
3/26/2016,28877,10649,462,39064,5948,86242,59199,140,979,34110,503,15584,13019,5871,751,4560,394,5431,5948,394
12/26/2015,18361,5624,3478,27463,3612,47836,31776,86,692,20450,1240,0,6638,2969,597,11444,4431,2954,3612,-4431
9/26/2015,53394,16225,11647,81266,11247,166402,121985,343,267,56274,2191,27114,33961,11561,1499,17716,7276,11257,11247,7276
6/27/2015,42270,13629,11892,67791,7629,137524,90551,230,67,54899,1808,21312,20992,8597,1332,11417,1475,8138,7629,1475
3/28/2015,31593,8748,12462,52803,5586,92523,54795,115,67,43496,2508,11332,11334,5544,608,8662,645,5054,5586,645
12/27/2014,18024,5660,10038,33722,3217,44915,26973,23,17,21165,2409,3485,4686,2801,512,6923,5634,2575,3217,5634
9/27/2014,39510,13156,7047,59713,9571,217128,208111,3765,226,22579,6306,11960,43531,11126,1158,37549,415,7946,9571,-415
6/28/2014,31043,11232,4188,46463,5745,160662,141938,898,209,25576,2010,11960,27003,8297,839,22169,1282,5977,5745,-1282
3/29/2014,23295,7467,5446,36208,3367,90360,91110,559,186,3362,0,0,22296,5430,430,28156,4690,4031,3367,4690
12/28/2013,13072,4078,5520,22670,1985,48397,35858,525,54,15103,0,0,4615,2769,365,7749,182,2144,1985,-182
9/28/2013,37037,10151,6478,53666,8165,148489,124447,496,1071,33774,0,16896,21629,10564,1082,16379,3513,6757,8165,3513
6/29/2013,29525,9196,5037,43758,6210,122681,95697,443,748,34385,0,16896,16971,7795,1001,8871,502,4974,6210,502
3/30/2013,22625,6357,6948,35930,4325,81163,58431,299,522,27878,0,0,1173,4984,588,6745,1307,3280,4325,1307
12/29/2012,13078,3312,7036,23426,2317,37192,26462,284,190,13521,0,0,1470,2493,534,4497,5408,1588,2317,5408
9/29/2012,41733,9422,299,50856,8295,151232,112805,350,1155,48227,0,0,2016,2488,1226,1698,931,3277,8295,931
6/30/2012,33510,7654,556,41720,4834,121091,83484,350,1123,43914,0,0,1469,0,1145,324,1870,2296,4834,-1870
3/31/2012,24686,5220,1625,31531,2778,85022,56754,350,208,31604,0,0,1013,0,634,379,306,1461,2778,306
12/31/2011,13064,2597,1893,17554,1321,40175,24510,0,142,17128,0,0,424,0,355,69,495,721,1321,495
9/24/2011,25922,5850,5757,37529,4260,102317,69853,244,3451,40419,0,0,1964,0,520,1444,1446,1814,4260,-1446
6/25/2011,19299,4373,3428,27100,2615,75133,50697,0,232,27283,0,0,1492,0,479,1013,830,1271,2615,830
3/26/2011,11991,2939,1062,15992,1838,42260,31916,0,69,12251,0,0,1234,0,258,976,4717,790,1838,4717
12/25/2010,6004,1478,2291,9773,1214,19575,10132,0,72,10729,0,0,662,0,233,429,527,356,1214,-527
9/25/2010,14013,3370,1212,18595,2005,57811,46718,638,118,13854,0,0,1663,0,406,1257,5998,1027,2005,5998
6/26/2010,9705,2665,542,12912,1245,41328,33806,615,89,9471,0,0,1385,0,384,1001,4442,698,1245,4442
3/27/2010,6452,1763,104,8111,650,25070,22017,325,13,4041,0,0,947,0,262,685,4755,425,650,4755
12/26/2009,3378,845,1558,5781,376,12928,9415,0,69,3958,0,0,626,0,103,523,2346,209,376,2346
9/26/2009,5704,920,3535,10159,1144,46825,30678,0,143,17434,0,0,745,0,82,663,6612,703,1144,-6612
6/27/2009,4039,853,2157,7049,685,34757,21897,0,118,13663,0,0,412,0,68,344,6270,506,685,-6270
3/28/2009,2810,658,1311,4779,439,23537,11737,0,85,12324,0,0,169,0,33,136,7409,330,439,-7409
12/27/2008,1605,308,2025,3938,339,13120,4894,0,74,8639,0,0,96,0,34,62,4639,158,339,-4639
